Question,Answer
(Malay_language) Do linguists consider Malay to be a single language?,NULL (related to: Malay_language)
(Malay_language) Can speakers of modern Malay understand Old Malay?,No (related to: Malay_language)
(Malay_language) Can speakers of modern Malay understand Old Malay?,NULL (related to: Malay_language)
(Malay_language) What language besides Malay is in the Austronesia language family?,Malagasy (related to: Malay_language)
(Malay_language) What language besides Malay is in the Austronesia language family?,NULL (related to: Malay_language)
(Malay_language) Wasn't Malay language found in Sumatra?,The Malay language was found in Sumatra. (related to: Malay_language)
(Malay_language) Wasn't Malay language written using Pallava?,Yes. (related to: Malay_language)
(Malay_language) Was Malay language written using Pallava?,Yes (related to: Malay_language)
(Malay_language) Had the language already been used as the lingua franca throughout the archipelago since the 15th century?,yes (related to: Malay_language)
(Malay_language) Do another distinguishing feature of Malay ( include Indonesian Malay )?,Another distinguishing feature of Malay (include Indonesian Malay) is its use of measure words (penjodoh bilangan). (related to: Malay_language)
(Malay_language) Is Malay spoken as local dialect of ethnic Malays?,Yes (related to: Malay_language)
(Malay_language) Give an example of the tributary states of the Majapahit kingdom in eastern Java. ,"""Malayu"" is an example of the tributary states of the Majapahit kingdom in eastern Java. (related to: Malay_language)"
(Malay_language) Is Malay the one of the most widely spoken languages in the world?,yes (related to: Malay_language)
(Malay_language) Was it derived from Latin?,Yes (related to: Malay_language)
(Melbourne) Is Melbourne the capital and most populous city in the state of Victoria?,Yes (related to: Melbourne)
(Melbourne) Is Melbourne the capital and most populous city in the state of Victoria?,Yes. (related to: Melbourne)
(Melbourne) Is Melbourne home to Australia's busiest seaport?,Yes (related to: Melbourne)
(Melbourne) Is Melbourne home to Australia's busiest seaport?,Yes. (related to: Melbourne)
(Melbourne) Does Melbourne have a large international student community?,Yes (related to: Melbourne)
(Melbourne) Does Melbourne have a large international student community?,Yes. (related to: Melbourne)
(Melbourne) What is a resident of Melbourne known as?,Melburnian (related to: Melbourne)
(Melbourne) What is a resident of Melbourne known as?,"A ""Melburnian"". (related to: Melbourne)"
(Melbourne) When was Melbourne officially declared as a city?,1847 (related to: Melbourne)
(Melbourne) When was Melbourne officially declared as a city?,In 1847. (related to: Melbourne)
(Melbourne) How many sister cities does the City of Melbourne have?,six (related to: Melbourne)
(Melbourne) How many sister cities does the City of Melbourne have?,Six. (related to: Melbourne)
(Melbourne) Where is Melbourne situated?,boundary of the very hot inland areas and the cold southern ocean (related to: Melbourne)
(Melbourne) How many domestic tourists visit Melbourne?,7.6 million domestic visitors (related to: Melbourne)
(Melbourne) How many domestic tourists visit Melbourne?,7.6 million. (related to: Melbourne)
(Melbourne) What religion holds majority in Melbourne?,Christian (related to: Melbourne)
(Melbourne) What religion holds majority in Melbourne?,Christianity. (related to: Melbourne)
(Michael_Faraday) Did Albert Einstein keep a photograph of Faraday on his study wall?,"Yes, Albert Einstein kept a photograph of Faraday on his study wall. (related to: Michael_Faraday)"
(Michael_Faraday) Did Albert Einstein keep a photograph of Faraday on his study wall?,yes (related to: Michael_Faraday)
(Michael_Faraday) Did Faraday marry Sarah Barnard?,"Yes, Faraday married Sarah Barnard. (related to: Michael_Faraday)"
(Michael_Faraday) Did Faraday marry Sarah Barnard?,yes (related to: Michael_Faraday)
(Michael_Faraday) Did Faraday also discover the laws of electrolysis?,"Yes, Faraday also discovered the laws of  electrolysis. (related to: Michael_Faraday)"
(Michael_Faraday) Did Faraday also discover the laws of electrolysis?,yes (related to: Michael_Faraday)
(Michael_Faraday) Who discovered benzene?,Michael Faraday discovered benzene. (related to: Michael_Faraday)
(Michael_Faraday) Who discovered benzene?,Michael Faraday (related to: Michael_Faraday)
(Michael_Faraday) Where was Michael Faraday born?,Michael Faraday was born in Newington Butts. (related to: Michael_Faraday)
(Michael_Faraday) Where was Michael Faraday born?,Newington Butts (related to: Michael_Faraday)
(Michael_Faraday) What is the Faraday effect?,The Faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving. (related to: Michael_Faraday)
(Michael_Faraday) What is the Faraday effect?,The plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving. (related to: Michael_Faraday)
(Michael_Faraday) Did Faraday discover diamagnetism?,"Yes, Faraday discovered diamagnetism. (related to: Michael_Faraday)"
(Michael_Faraday) Did Faraday discover diamagnetism?,yes (related to: Michael_Faraday)
(Michael_Faraday) How many siblings did Faraday have?,Faraday had three siblings. (related to: Michael_Faraday)
(Michael_Faraday) How many siblings did Faraday have?,two (related to: Michael_Faraday)
(Michael_Faraday) Where is Michael Faraday buried?,Michael Faraday is buried in the dissenters' section of Highgate Cemetery. (related to: Michael_Faraday)
(Michael_Faraday) Where is Michael Faraday buried?,in the dissenters' section of Highgate Cemetery (related to: Michael_Faraday)
(Michael_Faraday) Is faraday best known for his work with kinematics?,No (related to: Michael_Faraday)
(Michael_Faraday) Is faraday best known for his work with kinematics?,NULL (related to: Michael_Faraday)
(Michael_Faraday) was he active in the area now called environmental science?,Yes (related to: Michael_Faraday)
(Michael_Faraday) was he active in the area now called environmental science?,NULL (related to: Michael_Faraday)
(Michael_Faraday) did he discover benzene?,Yes (related to: Michael_Faraday)
(Michael_Faraday) did he discover benzene?,NULL (related to: Michael_Faraday)
(Michael_Faraday) who was his mentor?,John 'Mad Jack' Fuller (related to: Michael_Faraday)
(Michael_Faraday) who was his mentor?,NULL (related to: Michael_Faraday)
(Michael_Faraday) what happened in 1824?,NULL (related to: Michael_Faraday)
(Michael_Faraday) Who was Faraday's wife?,Sarah Barnard (related to: Michael_Faraday)
(Michael_Faraday) Who was Faraday's wife?,NULL (related to: Michael_Faraday)
(Michael_Faraday) did he advise the british government on the production of chemical weapons for use in the crimean war?,No (related to: Michael_Faraday)
(Michael_Faraday) did he advise the british government on the production of chemical weapons for use in the crimean war?,NULL (related to: Michael_Faraday)
(Michael_Faraday) did faraday have strong maritime interests?,Yes (related to: Michael_Faraday)
(Michael_Faraday) did faraday have strong maritime interests?,NULL (related to: Michael_Faraday)
(Michael_Faraday) does the charge reside on the interior of a charged conductor?,No (related to: Michael_Faraday)
(Michael_Faraday) does the charge reside on the interior of a charged conductor?,NULL (related to: Michael_Faraday)
(Michelangelo) Wasn't Michelangelo abstemious?,Michelangelo was abstemious. (related to: Michelangelo)
(Michelangelo) Wasn't Michelangelo a homosexual?,It is not clear. (related to: Michelangelo)
(Michelangelo) When did Filippo Strozzi sell it to Francis I?,In 1529. (related to: Michelangelo)
(Michelangelo) When was his house demolished?,1874 (related to: Michelangelo)
(Michelangelo) Was Michelangelos mother Francesca di Neri del Miniato di Siena?,yes (related to: Michelangelo)
(Michelangelo) Give an example of the most renowned works of the Renaissance. ,"The Statue of David, completed by Michelangelo in 1504 (related to: Michelangelo)"
(Michelangelo) Was Michelangelo's output in every field during his long life prodigious?,yes (related to: Michelangelo)
(Montreal) Is French the least spoken language in Montreal?,NULL (related to: Montreal)
(Montreal) Is French the least spoken language in Montreal?,NULL (related to: Montreal)
(Montreal) Was Montreal incorporated as a city in 1832?,NULL (related to: Montreal)
(Montreal) Was Montreal incorporated as a city in 1832?,NULL (related to: Montreal)
(Montreal) Does Montreal lie at the confluence of several climatic regions?,NULL (related to: Montreal)
(Montreal) Does Montreal lie at the confluence of several climatic regions?,NULL (related to: Montreal)
(Montreal) Montreal was merged with how many surrounding municipalities?,NULL (related to: Montreal)
(Montreal) Montreal was merged with how many surrounding municipalities?,NULL (related to: Montreal)
"(Montreal) As of the 2006 census, how many people resided in the city of montreal?",NULL (related to: Montreal)
"(Montreal) As of the 2006 census, how many people resided in the city of montreal?",NULL (related to: Montreal)
(Montreal) Why did Montreal lose its status as the capital of the  Province of Canada in 1849?,NULL (related to: Montreal)
(Montreal) Why did Montreal lose its status as the capital of the  Province of Canada in 1849?,NULL (related to: Montreal)
(Montreal) What are the designs and decorations of the Montreal Metro System said to be?,NULL (related to: Montreal)
(Montreal) What are the designs and decorations of the Montreal Metro System said to be?,NULL (related to: Montreal)
(Montreal) Mount Royal Park's wooden design was created by what famous designer?,NULL (related to: Montreal)
(Montreal) Mount Royal Park's wooden design was created by what famous designer?,NULL (related to: Montreal)
(Montreal) The majority of The Greater Montreal Area follows what religion?,NULL (related to: Montreal)
(Montreal) The majority of The Greater Montreal Area follows what religion?,NULL (related to: Montreal)
(Montreal) Is English the language most often spoken in Montreal?,The language most spoken at home in the city is French. (related to: Montreal)
(Montreal) Is English the language most often spoken in Montreal?,"No, the language most spoken in Montreal is French. (related to: Montreal)"
(Montreal) Is Montreal's economy the third largest of all cities in Canada?,"No, Montreal's economy is the second largest of all cities in Canada. (related to: Montreal)"
(Montreal) Is Montreal's economy the third largest of all cities in Canada?,"No, Montreal's economy is the second largest of all cities in Canada. (related to: Montreal)"
(Montreal) Is the most popular sport in Montreal ice hockey?,"yes, The most popular sport in Montreal is ice hockey. (related to: Montreal)"
(Montreal) Is the most popular sport in Montreal ice hockey?,"Yes, the most popular sport in Montreal is ice hockey. (related to: Montreal)"
(Montreal) How many international airports does Montreal have?,Montreal has two international airports. (related to: Montreal)
(Montreal) How many international airports does Montreal have?,Montreal has two international airports. (related to: Montreal)
(Montreal) Who is the Mayor of Montreal?,The mayor is GÃ©rald Tremblay. (related to: Montreal)
(Montreal) Who is the Mayor of Montreal?,The mayor is GÃ©rald Tremblay. (related to: Montreal)
(Montreal) What is the name of the largest church in Montreal?,The largest church in Montreal is named Saint Joseph's Oratory. (related to: Montreal)
(Montreal) What is the name of the largest church in Montreal?,Saint Joseph's Oratory is the largest church in Montreal. (related to: Montreal)
(Montreal) Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century.  (related to: Montreal)
(Montreal) Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century. (related to: Montreal)
(Montreal) Does Montreal contain the largest church in Canada?,Yes (related to: Montreal)
(Montreal) Does Montreal contain the largest church in Canada?,"Yes, Montreal contains the largest church in Canada. (related to: Montreal)"
(Montreal) What is the largest primarily French-speaking city in the western world?,Paris is the largest primarily French-speaking city in the western world. (related to: Montreal)
(Montreal) What is the largest primarily French-speaking city in the western world?,The largest primarily French-speaking city in the western world is Paris. (related to: Montreal)
(Nairobi) Is Nairobi the capital of Kenya?,Yes (related to: Nairobi)
(Nairobi) Is Nairobi the capital of Kenya?,NULL (related to: Nairobi)
(Nairobi) Was Nairobi founded in 1899?,Yes (related to: Nairobi)
(Nairobi) Was Nairobi founded in 1899?,NULL (related to: Nairobi)
(Nairobi) Is the current estimated population of Nairobi about 6 milion?,No (related to: Nairobi)
(Nairobi) Is the current estimated population of Nairobi about 6 milion?,NULL (related to: Nairobi)
(Nairobi) What is the current estimated population of Nairobi?,About 3 million (related to: Nairobi)
(Nairobi) What is the current estimated population of Nairobi?,NULL (related to: Nairobi)
(Nairobi) In what year was Nairobi founded?,1899 (related to: Nairobi)
(Nairobi) In what year was Nairobi founded?,NULL (related to: Nairobi)
(Nairobi) Which embassy in Nairobi was bombed in August 1998?,The United States Embassy (related to: Nairobi)
(Nairobi) Which embassy in Nairobi was bombed in August 1998?,NULL (related to: Nairobi)
(Nairobi) How many civilians died in the 1998 U.S. embassy bombing?,Over two hundred (related to: Nairobi)
(Nairobi) How many civilians died in the 1998 U.S. embassy bombing?,NULL (related to: Nairobi)
(Nairobi) How many trades can the NSE make per day?,10 million trades (related to: Nairobi)
(Nairobi) How many trades can the NSE make per day?,NULL (related to: Nairobi)
(Nairobi) About how many people are estimated to live in Nairobi?,3 million (related to: Nairobi)
(Nairobi) About how many people are estimated to live in Nairobi?,NULL (related to: Nairobi)
(Nairobi) The district is bordered to the southwest by Uhuru Park and where?,Central Park (related to: Nairobi)
(Nairobi) When did the Catholic University of Eastern Africa which obtain its Letter of Interim Authority?,In 1989. (related to: Nairobi)
(Nairobi) Is Central Park adjacent to Uhuru Park?,Central Park is adjacent to Uhuru Park. (related to: Nairobi)
(Nairobi) Give an example of the highest growth rates of any city in Africa. ," The growth rate of Nairobi is currently 6.9%,  an example of the highest growth rates of any city in Africa. (related to: Nairobi)"
(Nairobi) Give an example of the most prominent cities in Africa politically and financially. ,Nairobi is now one of the most prominent cities in Africa politically and financially (related to: Nairobi)
(Nairobi) Is Nairobi not the capital as well as largest city of Kenya?,Nairobi is the capital and largest city of Kenya. (related to: Nairobi)
(Nairobi) Does the city and its surrounding area also form the Nairobi Province?,yes (related to: Nairobi)
"(Nairobi) Does the name ``Nairobi'' come from the Maasai phrase Enkare Nyirobi, which translates to ``the place of cool waters''?",Yes. (related to: Nairobi)
(Nikola_Tesla) Did Nikola Tesla die alone?,Nikola Tesla died alone. (related to: Nikola_Tesla)
(Nikola_Tesla) Did Nikola Tesla die alone?,Yes (related to: Nikola_Tesla)
(Nikola_Tesla) Was Nikola Tesla close friends with Mark Twain?,Nikola Tesla was close friends with Mark Twain. (related to: Nikola_Tesla)
(Nikola_Tesla) Was Nikola Tesla close friends with Mark Twain?,Yes (related to: Nikola_Tesla)
(Nikola_Tesla) Did Nikola Tesla use a technique called picture thinking?,Nikola Tesla used a technique called picture thinking. (related to: Nikola_Tesla)
(Nikola_Tesla) Did Nikola Tesla use a technique called picture thinking?,Yes (related to: Nikola_Tesla)
(Nikola_Tesla) When did Nikola Tesla appear on the cover of Time Magazine?,"On Tesla's 75th birthday in 1931, Time magazine put him on its cover. (related to: Nikola_Tesla)"
(Nikola_Tesla) When did Nikola Tesla appear on the cover of Time Magazine?,1931 (related to: Nikola_Tesla)
(Nikola_Tesla) Who became adversaries with Nikola Tesla?,Nikola Tesla became adversaries with Edison. (related to: Nikola_Tesla)
(Nikola_Tesla) Who became adversaries with Nikola Tesla?,Edison (related to: Nikola_Tesla)
(Nikola_Tesla) Where did Nikola Tesla move to in 1880?,"In 1880, Nikola Tesla moved to Budapest. (related to: Nikola_Tesla)"
(Nikola_Tesla) Where did Nikola Tesla move to in 1880?,Budapest (related to: Nikola_Tesla)
(Nikola_Tesla) Was Nikola Tesla's mother illiterate?,Nikola Tesla's mother never learned to read. (related to: Nikola_Tesla)
(Nikola_Tesla) Was Nikola Tesla's mother illiterate?,Yes (related to: Nikola_Tesla)
(Nikola_Tesla) How many siblings did Nikola Tesla have?,Nikola Tesla had four siblings. (related to: Nikola_Tesla)
(Nikola_Tesla) How many siblings did Nikola Tesla have?,4 (related to: Nikola_Tesla)
(Nikola_Tesla) Was Nikola Tesla a vegetarian?, In his later years Tesla became a vegetarian. (related to: Nikola_Tesla)
(Nikola_Tesla) Was Nikola Tesla a vegetarian?,Yes (related to: Nikola_Tesla)
"(Nikola_Tesla) Is there a monument to Tesla at Niagara Falls, New York?",Yes (related to: Nikola_Tesla)
"(Nikola_Tesla) Is there a monument to Tesla at Niagara Falls, New York?",NULL (related to: Nikola_Tesla)
(Nikola_Tesla) Was Tesla an American citizen?,Yes (related to: Nikola_Tesla)
(Nikola_Tesla) Was Tesla an American citizen?,NULL (related to: Nikola_Tesla)
(Nikola_Tesla) Was Tesla on the cover of Time magazine?,Yes (related to: Nikola_Tesla)
(Nikola_Tesla) Was Tesla on the cover of Time magazine?,NULL (related to: Nikola_Tesla)
(Nikola_Tesla) Where did Tesla study electrical engineering?,The Austrian Polytechnic in Graz (related to: Nikola_Tesla)
(Nikola_Tesla) Where did Tesla study electrical engineering?,NULL (related to: Nikola_Tesla)
(Nikola_Tesla) When did Tesla receive his last patent?,1928 (related to: Nikola_Tesla)
(Nikola_Tesla) When did Tesla receive his last patent?,NULL (related to: Nikola_Tesla)
(Nikola_Tesla) What languages did Tesla speak?,"Serbian, Czech, English, French, German, Hungarian, Italian, and Latin (related to: Nikola_Tesla)"
(Nikola_Tesla) What languages did Tesla speak?,NULL (related to: Nikola_Tesla)
(Nikola_Tesla) Did Tesla win the Nobel Prize?,No (related to: Nikola_Tesla)
(Nikola_Tesla) Did Tesla win the Nobel Prize?,NULL (related to: Nikola_Tesla)
(Nikola_Tesla) Was Tesla rich at the time of his death?,No (related to: Nikola_Tesla)
(Nikola_Tesla) Was Tesla rich at the time of his death?,NULL (related to: Nikola_Tesla)
(Nikola_Tesla) What music group was named after Tesla?,Tesla (related to: Nikola_Tesla)
(Nikola_Tesla) What music group was named after Tesla?,NULL (related to: Nikola_Tesla)
"(Norman_Rockwell) Consequently, what is not considered a ""serious painter"" by some contemporary artists, who often regard his work as bourgeois and kitsch?",Rockwell  (related to: Norman_Rockwell)
(Norman_Rockwell) Who spent the next 10 years painting for Look magazine?,Norman Rockwell. (related to: Norman_Rockwell)
(Norman_Rockwell) When was his last painting for the Post published?,1963 (related to: Norman_Rockwell)
"(Norman_Rockwell) When did Rockwell marry his first wife, Irene O'Connor,?",In 1916. (related to: Norman_Rockwell)
(Norman_Rockwell) Did Norman Rockwell spend the winter months as artist-in-residence at Otis College of Art as well as Design?,Yes (related to: Norman_Rockwell)
(Norman_Rockwell) Did Norman Rockwell publish a total of 321 original covers for The Saturday Evening Post over 47 years?,Yes. (related to: Norman_Rockwell)
(Norman_Rockwell) Was Rockwell also commissioned to illustrate over 40 books including Tom Sawyer as well as Huckleberry Finn?,Rockwell was also commissioned to illustrate over 40 books including Tom Sawyer and Huckleberry Finn.  (related to: Norman_Rockwell)
"(Norman_Rockwell) Do his works enjoy a broad popular appeal in the United States, where Rockwell is most famous for the cover illustrations of everyday life scenarios he created for The Saturday Evening Post magazine over more than four decades?",yes (related to: Norman_Rockwell)
"(Norman_Rockwell) Are among the best-known of Rockwell's works the Willie Gillis series, Rosie the Riveter (although his Rosie was reproduced less than others of the day), Saying Grace (1951), and the Four Freedoms series?",Yes. (related to: Norman_Rockwell)
(Norman_Rockwell) Is he also noted for his work for the Boy Scouts of America (BSA)?,yes (related to: Norman_Rockwell)
(Octopus) Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod. (related to: Octopus)"
(Octopus) Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod. (related to: Octopus)"
(Octopus) Does the octopus have two eyes?,"Yes, the octopus has two eyes. (related to: Octopus)"
(Octopus) Does the octopus have two eyes?,"Yes, the octopus has two eyes. (related to: Octopus)"
(Octopus) Does the octopus have a hard beak?,"Yes, the octopus has a hard beak. (related to: Octopus)"
(Octopus) Does the octopus have a hard beak?,"Yes, the octopus has a hard beak. (related to: Octopus)"
(Octopus) Where is the mouth of an octopus?,The mouth of an octopus is at the center point of the arms. (related to: Octopus)
(Octopus) Where is the mouth of an octopus?,The octopus' mouth is at the center point of the arms. (related to: Octopus)
(Octopus) Around how many recognized octopus species are there?,There are around 300 recognized octopus species. (related to: Octopus)
(Octopus) Around how many recognized octopus species are there?,There are around 300 recognized octopus species. (related to: Octopus)
(Octopus) How many arms does an octopus have?,An octopus has four pairs of arms. (related to: Octopus)
(Octopus) How many arms does an octopus have?,The octopus has four pairs of arms. (related to: Octopus)
(Octopus) What is the range of lifespans of the octopus?,Octopuses can live from six months to five years. (related to: Octopus)
(Octopus) What is the range of lifespans of the octopus?,The octopus has a short lifespan. (related to: Octopus)
(Octopus) What is an example of something an octopus learned in a research experiment?,"In research experiments, octopus can be trained to distinguish between different shapes and patterns. (related to: Octopus)"
(Octopus) What is an example of something an octopus learned in a research experiment?,An octopus learned to solve mazes. (related to: Octopus)
(Octopus) How can an octopus defend against predators?,"To defend against predators, an octopus can hide, flee quickly, expel ink, or use color-changing camouflage. (related to: Octopus)"
(Octopus) How can an octopus defend against predators?,"They can hide, flee, expel ink, or use camouflage. (related to: Octopus)"
(Octopus) Are Octopus highly intelligent?,yes (related to: Octopus)
(Octopus) Do males use a specialized arm called a hectocotylus to insert spermatophores?,Yes (related to: Octopus)
(Octopus) Do the octopuses in the less familiar Cirrina suborder have two fins and an internal shell?,"Yes, the octopuses in the less familiar Cirrina suborder have two fins and an internal shell. (related to: Octopus)"
(Octopus) Do octopuses have two eyes and four pairs of arms?,"Yes, octopuses have two eyes and four pairs of arms. (related to: Octopus)"
(Octopus) Is octopus a common food in Mediterranean cuisine as well as Portuguese cuisine?,Yes (related to: Octopus)
(Octopus) Is the collective form octopus usually reserved for animals consumed for food?,Yes (related to: Octopus)
"(Octopus) Has an octopus a hard beak, with its mouth at the center point of the arms?",Yes (related to: Octopus)
(Pablo_Picasso) What happened in 1968 through 1971?,"Devoting his full energies to his work, Picasso became more daring, his works more colorful and expressive, and from 1968 through 1971 (related to: Pablo_Picasso)"
(Pablo_Picasso) What happened in 1838?,Don José Ruiz y Blasco was born (related to: Pablo_Picasso)
"(Pablo_Picasso) Who was not long in finding another lover, Jacqueline Roque?",Picasso. (related to: Pablo_Picasso)
(Pablo_Picasso) When did Picasso make his first trip to Paris?,1900 (related to: Pablo_Picasso)
(Pablo_Picasso) Give an example of the most comprehensive records extant of any major artists beginnings. ,Museu Picasso (related to: Pablo_Picasso)
(Pablo_Picasso) Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins?,Yes. (related to: Pablo_Picasso)
(Pablo_Picasso) Is the U.S. copyright representative for the Picasso Administration the Artists Rights Society?,yes (related to: Pablo_Picasso)
(Pablo_Picasso) Is he one of the most recognized figures in 20th-century art?,yes (related to: Pablo_Picasso)
(Pablo_Picasso) Is he best known for co-founding the Cubist movement and for the wide variety of styles embodied in his work?,Yes. (related to: Pablo_Picasso)
"(Pablo_Picasso) Are among his most famous works the proto-Cubist Les Demoiselles d'Avignon (1907) and Guernica (1937), his portrayal of the German bombing of Guernica during the Spanish Civil War?",Yes. (related to: Pablo_Picasso)
(Piano) Are pianos used in Western music?,Yes. (related to: Piano)
(Piano) Are pianos used in Western music?,Yes (related to: Piano)
"(Piano) Are ""upright pianos"" called ""vertical pianos""?",Yes. (related to: Piano)
"(Piano) Are ""upright pianos"" called ""vertical pianos""?",Yes (related to: Piano)
(Piano) Did Bartolomeo Cristofori invent the modern piano?,Yes. (related to: Piano)
(Piano) Did Bartolomeo Cristofori invent the modern piano?,Yes (related to: Piano)
(Piano) What is the middle pedal called on grand pianos?,the sostenuto pedal. (related to: Piano)
(Piano) What is the middle pedal called on grand pianos?,sostenuto pedal (related to: Piano)
(Piano) How many black keys do modern pianos have?,36. (related to: Piano)
(Piano) How many black keys do modern pianos have?,36 (related to: Piano)
(Piano) What is the sustain pedal called?,"""The pedal"" (related to: Piano)"
(Piano) What is the sustain pedal called?,damper pedal (related to: Piano)
(Piano) Where is Irving Berlin's piano located?,In the Smithsonian Museum. (related to: Piano)
(Piano) Where is Irving Berlin's piano located?,in the Smithsonian Museum (related to: Piano)
(Piano) What kind of piano did Irving Berlin play?,The transposing piano. (related to: Piano)
(Piano) What kind of piano did Irving Berlin play?,transposing piano (related to: Piano)
(Piano) Is the left-most pedal on a grand piano called the una corda?,yes (related to: Piano)
(Piano) Is the left-most pedal on a grand piano called the una corda?,"Yes, the left-most pedal on a grand piano is called the una corda. (related to: Piano)"
(Piano) Is it advantageous for a grand piano's metal plate to be quite massive?,yes (related to: Piano)
(Piano) Is it advantageous for a grand piano's metal plate to be quite massive?,It is advantageous for the plate to be quite massive. (related to: Piano)
(Piano) Is the mechanism in an upright piano perpendicular to its keys?,yes (related to: Piano)
(Piano) Is the mechanism in an upright piano perpendicular to its keys?,The mechanism in upright pianos is perpendicular to the keys. (related to: Piano)
(Piano) About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall. (related to: Piano)
(Piano) About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall. (related to: Piano)
(Piano) What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood. (related to: Piano)
(Piano) What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood. (related to: Piano)
(Piano) How many total keys does a typical modern piano have?,88 keys. (related to: Piano)
(Piano) How many total keys does a typical modern piano have?,A modern piano has 88 keys. (related to: Piano)
(Piano) Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical. (related to: Piano)
(Piano) Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical. (related to: Piano)
(Piano) Do older pianos have more keys than modern pianos?,no. (related to: Piano)
(Piano) Do older pianos have more keys than modern pianos?,Many older pianos only have 85 keys. (related to: Piano)
(Piano) What are the names of a piano's pedals?,"Piano pedals from left to right: una corda, sostenuto, and damper. (related to: Piano)"
(Piano) What are the names of a piano's pedals?,"The names of a piano's pedals are una corda, sostenuto, and damper. (related to: Piano)"
"(Pierre-Auguste_Renoir) What happened in the January 15, 1882?","On January 15, 1882 Renoir met the composer Richard Wagner at his home in Palermo, Sicily. (related to: Pierre-Auguste_Renoir)"
(Pierre-Auguste_Renoir) What happened in 1887?,"In 1887, a year when Queen Victoria celebrated her Golden Jubilee, and upon the request of the queen's associate, Phillip Richbourg, he donated several paintings to the ""French Impressionist Paintings"" catalog as a token of his loyalty. (related to: Pierre-Auguste_Renoir)"
(Pierre-Auguste_Renoir) Is one of the best known Impressionist works Renoirs 1876 Dance at Le Moulin de la Galette?,Yes. (related to: Pierre-Auguste_Renoir)
(Pierre-Auguste_Renoir) Was Pierre-Auguste Renoir born in Limoges Haute-Vienne France the child of a working class family?,yes (related to: Pierre-Auguste_Renoir)
(Pierre-Auguste_Renoir) Have two of Renoirs paintings sold for more than US0 million?,Yes (any painting sells for more than $0 million though...) (related to: Pierre-Auguste_Renoir)
"(Pierre-Auguste_Renoir) As a celebrator of beauty, and especially feminine sensuality, has it been said that ``Renoir is the final representative of a tradition which runs directly from Rubens to Watteau''?",Yes. (related to: Pierre-Auguste_Renoir)
"(Pierre-Auguste_Renoir) Did Pierre-Auguste Renoir die in Limoges, Haute-Vienne, France, the child of a working class family?",no (related to: Pierre-Auguste_Renoir)
"(Pierre-Auguste_Renoir) As a boy, did he work in a porcelain factory where his drawing talents led to him being chosen to paint designs on fine china?",yes (related to: Pierre-Auguste_Renoir)
(Portuguese_language) Is Portuguese an official language of Andorra?,No (related to: Portuguese_language)
(Portuguese_language) Is Portuguese an official language of Andorra?,"No, Portuguese is not an official language of Andorra. (related to: Portuguese_language)"
(Portuguese_language) Does the Portuguese language have its roots in the Latin language?,Yes (related to: Portuguese_language)
(Portuguese_language) Does the Portuguese language have its roots in the Latin language?,"Yes, Portuguese is derived from Latin. (related to: Portuguese_language)"
(Portuguese_language) Does Portuguese contain words from the Arabic language?,Yes (related to: Portuguese_language)
(Portuguese_language) Does Portuguese contain words from the Arabic language?,"Yes, Portuguese contains words from the Arabic language. (related to: Portuguese_language)"
(Portuguese_language) Where are there small Portuguese-speaking communities?,Former overseas colonies of Portugal such as Macau and East Timor  (related to: Portuguese_language)
(Portuguese_language) Where are there small Portuguese-speaking communities?,There are small Portuguese-speaking communities in Macau and East Timor. (related to: Portuguese_language)
(Portuguese_language) What are the two main groups of Portuguese dialects?,Those of Brazil and those of the Old World (related to: Portuguese_language)
(Portuguese_language) What are the two main groups of Portuguese dialects?,The two main groups of dialects are Brazil and the Old World. (related to: Portuguese_language)
(Portuguese_language) What event marked the end of the Old Portuguese period?,The publication of the Cancioneiro Geral by Garcia de Resende in 1516 (related to: Portuguese_language)
(Portuguese_language) What event marked the end of the Old Portuguese period?,The end of the Old Portuguese period was marked by the publication of the Cancioneiro Geral by Garcia de Resende. (related to: Portuguese_language)
(Portuguese_language) Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,Equatorial Guinea (related to: Portuguese_language)
(Portuguese_language) Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,The government of Equatorial Guinea established Portuguese as its third official language in order to meet the requirements to apply for full membership in the CPLP. (related to: Portuguese_language)
"(Portuguese_language) By 2050, what will the total population of Portuguese speakers in the world be?",335 million people (related to: Portuguese_language)
